ID,cal_file,marker_style,date,camera_make,camera_model,camera_serial,lens_make,lens_model,lens_serial,focal,lr_dist,tb_dist,llur_dist,ullr_dist,mlx,mly,mrx,mry,mtx,mty,mbx,mby,llx,lly,urx,ury,ulx,uly,lrx,lry
AR1131860010001,Report_232_05_204431.pdf,zeiss_float,1971-06-30,Zeiss,RMK A 15/23,111688,Zeiss,Pleogon A2,112653,153.41,225.99,225.99,294.08,294.05,,,,,,,,,,,,,,,,
AR1150210020001,Report_RT-R_59.pdf,zeiss_float,1974-04-04,Zeiss,RMK A 15/23,116190,Zeiss,Pleogon A2,116246,153.05,225.985,225.993,294.099,294.063,,,,,,,,,,,,,,,,
AR1261930010001,Report_RT-R_498.pdf,wild_corner,1979-02-23,Wild Heerbrugg,RC8,699,Wild,Universal Aviogon,UAg286,152.821,,,299.823,299.811,,,,,,,,,-106.026,-106.005,106.012,105.972,-105.988,105.99,106.013,-106.005
AR1317100010007,Report_232_05_207921.pdf,small_flat,1973-01-31,Park,,54,Bausch and Lomb,Cartogon,JZ1492,152.93,223.289,223.37,,,,,,,,,,,,,,,,,,
AR13SIS7C001020 ,Report_232_05_203939.pdf,midside_notch,1971-04-23,Fairchild,KC-1B,GEH-111,Bausch and Lomb,Planigon,XF6818,152.08,238.04,234.96,,,,,,,,,,,,,,,,,,
AR173GD10010001,Report_232_05_207662.pdf,wild_all_cross,1972-12-15,Wild Heerbrugg,RC8,261,Wild,Universal Aviogon,UAg346,152.66,219.989,220.002,299.816,299.811,,,,,,,,,,,,,,,,
AR177810011X074,Report_RT-R_237.pdf,wild_corner,1976-02-11,Wild Heerbrugg,RC8,443,Wild,Aviogon,Ag167,152.252,,,299.835,299.819,,,,,,,,,-106.01,-106.009,105.994,106.017,-106.003,105.991,106.005,-106.009
AR1ADAM7I001049 ,Report_232_05_203939.pdf,midside_notch,1971-04-23,Fairchild,KC-1B,GEH-111,Bausch and Lomb,Planigon,XF6818,152.08,238.04,234.96,,,,,,,,,,,,,,,,,,
AR1AECCG0010001 ,R67.pdf,midside_notch,1974-04-25,Fairchild,T-12,54-002,Bausch and Lomb,Planigon,XF6742,152.26,237.942,235.324,,,,,,,,,,,,,,,,,,
AR1AECGH0010001,Report_2_2_154130.pdf,curved_flat,,Smith,,JZ1491,Bausch and Lomb,Cartogon,JZ1491,152.25,222.22,222.34,,,,,,,,,,,,,,,,,,
AR1AH0000010001,Report_IV-4_TP-110360.pdf,large_sharp,1946-08-09,Smith,,7460000,Bausch and Lomb,Metrogon,UF3732,154,221.59,222.62,,,,,,,,,,,,,,,,,,
AR1BAKE7G001086 ,Report_232_05_203939.pdf,midside_notch,1971-04-23,Fairchild,KC-1B,GEH-111,Bausch and Lomb,Planigon,XF6818,152.08,238.04,234.96,,,,,,,,,,,,,,,,,,
AR1BIGOM001X001,Report_212_12_185941-1.pdf,light_corner,1965-08-03,Wild Heerbrugg,RC5,,Wild,Aviogon,Ag43,152.48,,,299.84,299.81,,,,,,,,,,,,,,,,
AR1BLUER0050162,Report_RT-R_140.pdf,wild_corner,1975-01-09,Wild Heerbrugg,RC8,727,Wild,Universal Aviogon,UAg326,152.82,,,299.812,299.793,,,,,,,,,,,,,,,,
