cal_file,date,camera_make,camera_model,camera_serial,lens_make,lens_model,lens_serial,focal,lr_dist,tb_dist,llur_dist,ullr_dist,mlx,mly,mrx,mry,mtx,mty,mbx,mby,llx,lly,urx,ury,ulx,uly,lrx,lry
108809-1.pdf,1946-02-26,Park,,30,Bausch and Lomb,Metrogon,MS7974,154.07,222.51,223.63,,,,,,,,,,,,,,,,,,
112287-1.pdf,1947-03-11,Park,,34,Bausch and Lomb,Metrogon,BF1214,153.63,223.17,224.19,,,,,,,,,,,,,,,,,,
113053-3.pdf,1947-05-28,Smith,,,Bausch and Lomb,Metrogon,7126,131.33,222.37,222.54,,,,,,,,,,,,,,,,,,
136824.pdf,1953-09-24,Smith,,641E346,Bausch and Lomb,Metrogon,UF4346,153.38,221.37,223.02,,,,,,,,,,,,,,,,,,
143408.pdf,1955-08-25,Fairchild,T-5,AF41-4137,Bausch and Lomb,Metrogon,US2111,152.47,229.96,229.96,,,,,,,,,,,,,,,,,,
150919.pdf,1957-10-10,Fairchild,K-17 (modified),43-394,Bausch and Lomb,Cartogon,JZ1477,153.65,223.56,223.31,,,,,,,,,,,,,,,,,,
154033-2.pdf,1958-08-14,Fairchild,T-5,,Bausch and Lomb,Metrogon,UF9786,153.69,230.04,229.48,,,,,,,,,,,,,,,,,,
173036-1.pdf,1962-09-14,Wild Heerbrugg,RC5A,314,Wild,Aviogon,Ag85,152.4,,,299.84,299.82,,,,,,,,,,,,,,,,
175387-1.pdf,1963-04-02,Park,,54,Bausch and Lomb,Cartogon,JZ1492,152.95,223.4,223.48,,,,,,,,,,,,,,,,,,
208282.pdf,1973-02-21,Wild Heerbrugg,RC8,905,Wild,Universal Aviogon,UAg362,152.57,220.0,219.988,299.809,299.795,,,,,,,,,,,,,,,,
CardCal000008.pdf,,Park,,8,Goerz,Aerotar,756701,210.22,,,,,,,,,,,,,,,,,,,,
CardCal000014.pdf,1941-05-14,Park,,14,Goerz,Aerotar,759331,300.82,,,,,,,,,,,,,,,,,,,,
CardCal000028.pdf,1941-10-30,Park,,28,Bausch and Lomb,Metrogon,AF999,132.22,,,,,,,,,,,,,,,,,,,,
CardCal000030.pdf,1950-01-26,Park,,30,Bausch and Lomb,Metrogon,MS7974,154.28,,,,,,,,,,,,,,,,,,,,
CardCal000031.pdf,1953-03-18,Park,,31,Bausch and Lomb,Metrogon,VA1262,154.08,,,,,,,,,,,,,,,,,,,,
CardCal000032.pdf,1946-01-30,Park,,32,Bausch and Lomb,Metrogon,MF24,152.54,,,,,,,,,,,,,,,,,,,,
CardCal000033.pdf,1952-02-06,Park,,33,Bausch and Lomb,Metrogon,MF2219,154.91,,,,,,,,,,,,,,,,,,,,
CardCal000034.pdf,1947-02-21,Park,,34,Bausch and Lomb,Metrogon,BF1214,153.63,,,,,,,,,,,,,,,,,,,,
CardCal000036.pdf,,Park,,36,Bausch and Lomb,Metrogon,7070,131.46,,,,,,,,,,,,,,,,,,,,
CardCal000037.pdf,1947-04-01,Park,,37,Bausch and Lomb,Metrogon,MS9714R,152.36,,,,,,,,,,,,,,,,,,,,
CardCal000038.pdf,1952-05-26,Park,,38,Bausch and Lomb,Metrogon,MS8228,153.2,,,,,,,,,,,,,,,,,,,,
CardCal000039.pdf,,Park,,39,Bausch and Lomb,Metrogon,LF5761,131.28,,,,,,,,,,,,,,,,,,,,
CardCal005657.pdf,1954-02-23,Fairchild,K-17 (modified),5657,Bausch and Lomb,Metrogon,AF5657,153.59,,,,,,,,,,,,,,,,,,,,
CardCal400000581.pdf,,Fairchild,K-3B (modified),AC40-581,Ross,Wide Angle Xpres,130007,210.64,,,,,,,,,,,,,,,,,,,,
CardCal410000569.pdf,,Fairchild,K-3B (modified),41-569,Ross,Wide Angle Xpres,126585,208.1,,,,,,,,,,,,,,,,,,,,
CardCal410002305.pdf,1954-04-14,Fairchild,K-17,41-2305,Bausch and Lomb,Metrogon,DF7250,154.39,,,,,,,,,,,,,,,,,,,,
CardCal410002540.pdf,1954-09-24,Fairchild,K-17 (modified),41-2540,Bausch and Lomb,Metrogon,MF2563,152.54,,,,,,,,,,,,,,,,,,,,
CardCal410002559.pdf,1954-07-07,Fairchild,K-17,41-2559,Bausch and Lomb,Metrogon,KF267,152.26,,,,,,,,,,,,,,,,,,,,
CardCal410002563.pdf,1954-10-26,Fairchild,K-17,41-2563,Bausch and Lomb,Metrogon,MF1389,152.5,,,,,,,,,,,,,,,,,,,,
CardCal410004123.pdf,1956-02-28,Fairchild,T-5,41-4123,Bausch and Lomb,Metrogon,AF5710,154.45,,,,,,,,,,,,,,,,,,,,
CardCal410004137.pdf,1955-12-30,Fairchild,T-5,41-4137,Bausch and Lomb,Metrogon,US2111,152.47,,,,,,,,,,,,,,,,,,,,
CardCal410004139.pdf,1953-06-10,Fairchild,T-5,41-4139,Bausch and Lomb,Metrogon,UF9521,,,,,,,,,,,,,,,,,,,,,
CardCal410004157.pdf,1956-02-28,Fairchild,T-5,41-4157,Bausch and Lomb,Metrogon,MF1732,154.46,,,,,,,,,,,,,,,,,,,,
CardCal410004164.pdf,1951-02-04,Fairchild,T-5,41-4164,Bausch and Lomb,Metrogon,MF2398,152.65,,,,,,,,,,,,,,,,,,,,
CardCal420000985.pdf,1956-01-10,Fairchild,K-17 (modified),42-985,Bausch and Lomb,Metrogon,DF5225,154.0,,,,,,,,,,,,,,,,,,,,
